
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Ron Behagen\behagro01,PF,26,NOJ,60,,1170,213,509,.418,,,,213,509,.418,.418,90,126,.714,144,287,431,83,41,19,,166,516
23,Mel Bennett\benneme01,PF,22,IND,67,,911,101,294,.344,,,,101,294,.344,.344,112,187,.599,110,127,237,70,37,33,,155,314
24,Henry Bibby\bibbyhe01,PG,27,PHI,81,,2639,302,702,.430,,,,302,702,.430,.430,221,282,.784,86,187,273,356,108,5,,200,825
25,Bob Bigelow\bigelbo01,SF,23,KCK,29,,162,35,70,.500,,,,35,70,.500,.500,15,17,.882,8,19,27,8,3,1,,17,85
26,Dave Bing*\bingda01,SG,33,WSB,64,,1516,271,597,.454,,,,271,597,.454,.454,136,176,.773,54,89,143,275,61,5,,150,678
27,Tom Boerwinkle\boerwto01,C,31,CHI,82,,1070,134,273,.491,,,,134,273,.491,.491,34,63,.540,101,211,312,189,19,19,,147,302
28,Ron Boone\boonero01,SG,30,KCK,82,,3021,747,1577,.474,,,,747,1577,.474,.474,324,384,.844,128,193,321,338,119,19,,258,1818
29,Tom Boswell\bosweto01,PF,23,BOS,70,,1083,175,340,.515,,,,175,340,.515,.515,96,135,.711,111,195,306,85,27,8,,237,446
30,Freddie Boyd\boydfr01,PG,26,NOJ,47,,1212,194,406,.478,,,,194,406,.478,.478,79,98,.806,19,71,90,147,44,6,,78,467
31,Bill Bradley*\bradlbi01,SF,33,NYK,67,,1027,127,274,.464,,,,127,274,.464,.464,34,42,.810,27,76,103,128,25,8,,122,288
32,Jim Brewer\breweji01,PF,25,CLE,81,,2672,296,657,.451,,,,296,657,.451,.451,97,178,.545,275,487,762,195,94,82,,214,689
33,Junior Bridgeman\bridgju01,SF,23,MIL,82,,2410,491,1094,.449,,,,491,1094,.449,.449,197,228,.864,129,287,416,205,82,26,,221,1179
34,Allan Bristow\bristal01,SF,25,SAS,82,,2017,365,747,.489,,,,365,747,.489,.489,206,258,.798,119,229,348,240,89,2,,195,936
35,Gary Brokaw\brokaga01,SG,23,TOT,80,,1487,242,564,.429,,,,242,564,.429,.429,163,219,.744,22,101,123,228,36,36,,164,647
