Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
13,Indiana Pacers,42-40,29-12,13-28,26-26,16-14,8-10,8-8,10-8,5-5,6-4,5-5,29-28,13-12,4-2,23-19,1-2,8-8,7-8,9-4,6-7,6-10,5-1
14,Milwaukee Bucks,42-40,23-18,19-22,27-25,15-15,10-8,10-6,7-11,4-6,7-3,4-6,25-30,17-10,8-2,21-22,1-2,7-6,8-8,5-10,5-6,14-4,2-4
15,Chicago Bulls,41-41,25-16,16-25,28-24,13-17,10-8,9-7,9-9,4-6,5-5,4-6,28-29,13-12,5-6,17-23,3-0,7-7,6-11,8-7,6-5,6-9,5-2
16,Portland Trail Blazers,41-41,25-16,16-25,13-17,28-24,5-5,3-7,5-5,11-5,9-9,8-10,23-33,18-8,7-11,18-16,2-1,8-9,4-11,8-7,2-7,13-3,4-3
17,Miami Heat,41-41,23-18,18-23,27-25,14-16,7-11,11-7,9-7,4-6,5-5,5-5,25-32,16-9,8-6,19-13,1-2,5-10,4-12,9-6,8-3,10-6,4-2
18,Denver Nuggets,40-42,22-19,18-23,16-14,24-28,6-4,7-3,3-7,6-10,12-6,6-12,25-31,15-11,5-10,24-19,1-2,6-9,7-8,7-7,6-7,8-7,5-2
19,Detroit Pistons,37-45,24-17,13-28,21-31,16-14,7-11,5-11,9-9,7-3,4-6,5-5,27-30,10-15,5-7,23-26,2-1,8-9,5-10,6-7,8-4,6-11,2-3
20,Charlotte Hornets,36-46,22-19,14-27,22-30,14-16,7-11,5-13,10-6,7-3,4-6,3-7,24-32,12-14,0-9,19-18,2-1,8-7,9-7,4-11,3-8,9-7,1-5
21,New Orleans Pelicans,34-48,21-20,13-28,14-16,20-32,5-5,4-6,5-5,7-11,7-11,6-10,23-34,11-14,7-6,17-22,0-3,7-9,7-9,5-9,4-7,10-6,1-5
22,Dallas Mavericks,33-49,21-20,12-29,14-16,19-33,4-6,6-4,4-6,6-12,8-10,5-11,22-34,11-15,4-6,14-26,0-3,3-11,7-10,8-6,6-5,7-9,2-5
23,Sacramento Kings,32-50,17-24,15-26,11-19,21-31,5-5,3-7,3-7,8-10,7-9,6-12,24-33,8-17,10-6,9-27,2-2,5-9,7-8,5-11,6-5,4-12,3-3
24,Minnesota Timberwolves,31-51,20-21,11-30,13-17,18-34,3-7,4-6,6-4,5-11,9-9,4-14,22-35,9-16,7-10,18-19,0-2,5-11,6-9,8-7,5-7,6-8,1-7
25,New York Knicks,31-51,19-22,12-29,22-30,9-21,5-11,9-9,8-10,3-7,3-7,3-7,23-34,8-17,7-10,10-25,1-1,8-8,7-8,5-12,3-7,5-11,2-4
26,Orlando Magic,29-53,16-25,13-28,20-32,9-21,8-10,5-13,7-9,2-8,3-7,4-6,21-37,8-16,5-5,10-32,0-3,7-8,8-8,4-12,3-7,5-11,2-4
27,Philadelphia 76ers,28-54,17-24,11-30,19-33,9-21,7-9,5-13,7-11,3-7,4-6,2-8,21-35,7-19,9-8,7-29,0-2,4-12,4-10,10-5,4-8,6-11,0-6
28,Los Angeles Lakers,26-56,17-24,9-32,10-20,16-36,3-7,3-7,4-6,4-14,6-10,6-12,19-39,7-17,2-4,14-31,1-2,9-8,2-14,5-10,2-8,2-12,5-2
29,Phoenix Suns,24-58,15-26,9-32,13-17,11-41,6-4,3-7,4-6,3-15,3-13,5-13,18-39,6-19,9-5,7-32,0-4,6-9,4-11,5-9,3-9,4-12,2-4
30,Brooklyn Nets,20-62,13-28,7-34,11-41,9-21,3-13,4-14,4-14,2-8,5-5,2-8,9-47,11-15,3-6,9-30,1-3,4-9,3-12,1-15,0-10,7-10,4-3
