"Rk","Team","Overall","Home","Road","X3","X10","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Season","Wins","Losses"
"25","New Jersey Nets","22-44","9-24","13-20","6-2","8-26",NA,NA,"1-3","6-12","4-10","8-10","3-9",NA,"2012","22","44"
"26","Sacramento Kings","22-44","16-17","6-27","6-7","6-24",NA,NA,"1-3","5-12","6-7","6-12","4-10",NA,"2012","22","44"
"27","Cleveland Cavaliers","21-45","11-22","10-23","5-6","9-26",NA,NA,"1-2","7-10","5-8","4-13","4-12",NA,"2012","21","45"
"28","New Orleans Hornets","21-45","11-22","10-23","4-9","6-19",NA,NA,"2-1","2-16","4-10","5-12","8-6",NA,"2012","21","45"
"29","Washington Wizards","20-46","11-22","9-24","6-5","11-26",NA,NA,"0-3","4-14","3-11","5-11","8-7",NA,"2012","20","46"
"30","Charlotte Bobcats","7-59","4-29","3-30","2-4","2-38",NA,NA,"1-2","2-17","1-10","3-14","0-16",NA,"2012","7","59"
" 1","Miami Heat","66-16","37-4","29-12","9-3","39-8","1-0","10-3","10-5","8-5","12-1","17-1","8-1",NA,"2013","66","16"
" 2","Oklahoma City Thunder","60-22","34-7","26-15","3-6","44-6","","13-4","11-2","11-5","7-4","12-5","6-2",NA,"2013","60","22"
" 3","San Antonio Spurs","58-24","35-6","23-18","9-5","31-10","1-0","12-4","12-4","12-3","8-3","10-4","3-6",NA,"2013","58","24"
" 4","Denver Nuggets","57-25","38-3","19-22","11-7","28-8","0-1","8-8","9-6","12-3","8-4","13-2","7-1",NA,"2013","57","25"
" 5","Los Angeles Clippers","56-26","32-9","24-17","3-5","38-12","1-0","8-6","16-0","9-7","8-5","7-7","7-1",NA,"2013","56","26"
" 6","Memphis Grizzlies","56-26","32-9","24-17","6-4","28-9","0-1","12-1","7-7","10-7","9-2","11-6","7-2",NA,"2013","56","26"
" 7","New York Knicks","54-28","31-10","23-18","7-5","31-12","","11-4","10-5","7-6","6-5","12-6","8-2",NA,"2013","54","28"
" 8","Brooklyn Nets","49-33","26-15","23-18","9-4","23-17","","11-4","5-11","11-4","7-5","8-7","7-2",NA,"2013","49","33"
" 9","Indiana Pacers","49-32","30-11","19-21","4-9","27-14","1-0","7-8","10-5","9-6","9-3","11-5","2-5",NA,"2013","49","32"
"10","Golden State Warriors","47-35","28-13","19-22","5-3","20-18","1-0","8-6","12-4","8-7","4-8","9-7","5-3",NA,"2013","47","35"
"11","Chicago Bulls","45-37","24-17","21-20","11-7","16-16","1-0","6-7","9-6","12-4","5-8","7-7","5-5",NA,"2013","45","37"
"12","Houston Rockets","45-37","29-12","16-25","5-5","26-13","1-0","6-8","10-6","8-9","6-5","9-5","5-4",NA,"2013","45","37"
"13","Los Angeles Lakers","45-37","29-12","16-25","8-5","18-17","0-2","8-6","7-7","5-11","9-4","9-6","7-1",NA,"2013","45","37"
"14","Atlanta Hawks","44-38","25-16","19-22","5-5","19-20","","9-5","10-5","7-9","7-4","8-10","3-5",NA,"2013","44","38"
"15","Utah Jazz","43-39","30-11","13-28","5-7","19-21","1-0","8-8","6-9","10-4","6-6","7-9","5-3",NA,"2013","43","39"
"16","Boston Celtics","41-40","27-13","14-27","8-7","18-23","0-1","9-6","5-9","8-7","8-4","8-8","3-5",NA,"2013","41","40"
"17","Dallas Mavericks","41-41","24-17","17-24","5-8","17-19","1-1","6-8","5-10","7-8","6-5","11-5","5-4",NA,"2013","41","41"
"18","Milwaukee Bucks","38-44","21-20","17-24","7-5","13-25","","7-7","9-6","8-7","4-8","7-9","3-7",NA,"2013","38","44"
"19","Philadelphia 76ers","34-48","23-18","11-30","4-5","13-24","1-0","9-6","4-11","5-9","3-8","8-9","4-5",NA,"2013","34","48"
"20","Toronto Raptors","34-48","21-20","13-28","8-8","16-22","0-1","4-12","7-7","5-10","7-5","4-11","7-2",NA,"2013","34","48"
"21","Portland Trail Blazers","33-49","22-19","11-30","9-6","13-24","1-0","5-10","9-4","8-8","3-9","7-9","0-9",NA,"2013","33","49"
"22","Minnesota Timberwolves","31-51","20-21","11-30","3-10","15-26","","7-8","7-5","3-12","3-10","6-11","5-5",NA,"2013","31","51"
"23","Detroit Pistons","29-53","18-23","11-30","6-10","15-29","0-1","5-11","6-10","6-7","6-8","1-13","5-3",NA,"2013","29","53"
"24","Washington Wizards","29-53","22-19","7-34","6-9","13-17","0-1","1-12","3-11","7-9","7-5","9-8","2-7",NA,"2013","29","53"
"25","Sacramento Kings","28-54","20-21","8-33","7-3","12-31","0-1","4-10","7-8","6-11","3-9","7-8","1-7",NA,"2013","28","54"
"26","New Orleans Hornets","27-55","16-25","11-30","7-5","10-27","0-1","4-9","3-13","8-8","5-8","6-9","1-7",NA,"2013","27","55"
"27","Phoenix Suns","25-57","17-24","8-33","6-8","10-31","0-1","7-9","4-11","5-9","4-9","3-12","2-6",NA,"2013","25","57"
"28","Cleveland Cavaliers","24-58","14-27","10-31","6-11","7-27","1-0","3-12","3-13","6-8","7-5","2-12","2-8",NA,"2013","24","58"
"29","Charlotte Bobcats","21-61","15-26","6-35","6-6","6-37","","7-8","1-15","3-11","2-10","4-12","4-5",NA,"2013","21","61"
"30","Orlando Magic","20-62","12-29","8-33","2-9","8-30","","5-10","7-9","2-12","2-11","3-13","1-7",NA,"2013","20","62"
" 1","San Antonio Spurs","62-20","32-9","30-11","7-0","35-12","1-0","13-3","11-4","8-6","9-3","16-0","4-4",NA,"2014","62","20"
" 2","Oklahoma City Thunder","59-23","34-7","25-16","10-4","33-8","1-0","10-3","14-3","13-4","6-5","10-4","5-4",NA,"2014","59","23"
" 3","Los Angeles Clippers","57-25","34-7","23-18","4-3","30-9","1-1","11-4","9-7","12-4","7-4","13-2","4-3",NA,"2014","57","25"
" 4","Indiana Pacers","56-26","35-6","21-20","4-3","29-17","2-0","13-1","10-4","10-5","9-3","8-10","4-3",NA,"2014","56","26"
" 5","Houston Rockets","54-28","33-8","21-20","7-6","30-9","1-0","12-5","8-8","10-4","8-2","10-4","5-5",NA,"2014","54","28"
" 6","Miami Heat","54-28","32-9","22-19","8-7","29-10","1-1","12-2","11-4","8-6","9-1","10-8","3-6",NA,"2014","54","28"
" 7","Portland Trail Blazers","54-28","31-10","23-18","8-9","24-13","0-1","13-2","12-4","8-6","7-5","8-9","6-1",NA,"2014","54","28"
" 8","Golden State Warriors","51-31","27-14","24-17","11-8","28-9","1-1","8-7","11-5","9-6","7-4","9-5","6-3",NA,"2014","51","31"
" 9","Memphis Grizzlies","50-32","27-14","23-18","10-4","18-13","0-1","8-7","5-9","12-3","7-5","12-5","6-2",NA,"2014","50","32"
"10","Dallas Mavericks","49-33","26-15","23-18","11-11","23-10","1-0","9-8","8-5","9-8","9-3","8-6","5-3",NA,"2014","49","33"
"11","Chicago Bulls","48-34","27-14","21-20","6-5","27-19","1-1","6-7","5-10","11-4","9-4","10-6","6-2",NA,"2014","48","34"
"12","Toronto Raptors","48-34","26-15","22-19","3-8","24-6","1-0","5-9","8-6","11-6","7-5","10-6","6-2",NA,"2014","48","34"
"13","Phoenix Suns","48-34","26-15","22-19","2-9","19-7","1-0","8-8","10-3","9-7","6-6","10-6","4-4",NA,"2014","48","34"
"14","Brooklyn Nets","44-38","28-13","16-25","8-3","17-20","0-1","5-11","5-9","10-3","7-5","12-4","5-5",NA,"2014","44","38"
"15","Washington Wizards","44-38","22-19","22-19","5-9","19-14","0-1","8-8","6-5","8-9","8-5","8-8","6-2",NA,"2014","44","38"
"16","Charlotte Bobcats","43-39","25-16","18-23","8-8","18-19","0-1","8-8","6-9","7-9","6-4","9-7","7-1",NA,"2014","43","39"
"17","Minnesota Timberwolves","40-42","24-17","16-25","5-6","26-18","1-0","8-9","6-7","8-7","5-6","8-8","4-5",NA,"2014","40","42"
"18","Atlanta Hawks","38-44","24-17","14-27","8-9","15-16","0-1","9-8","9-5","6-7","2-10","6-10","6-3",NA,"2014","38","44"
"19","New York Knicks","37-45","19-22","18-23","3-8","19-22","1-1","2-11","6-9","10-6","2-11","11-5","5-2",NA,"2014","37","45"
"20","Denver Nuggets","36-46","22-19","14-27","8-5","16-24","0-1","9-5","5-10","8-7","3-9","7-10","4-4",NA,"2014","36","46"
"21","New Orleans Pelicans","34-48","22-19","12-29","7-8","10-21","0-1","7-7","7-7","5-11","4-9","9-7","2-6",NA,"2014","34","48"
"22","Cleveland Cavaliers","33-49","19-22","14-27","7-5","13-27","1-0","4-12","5-9","6-9","8-6","6-9","3-4",NA,"2014","33","49"
"23","Detroit Pistons","29-53","17-24","12-29","2-6","16-25","1-0","5-10","8-9","4-8","5-8","4-12","2-6",NA,"2014","29","53"
"24","Sacramento Kings","28-54","17-24","11-30","4-9","12-26","1-0","3-10","6-10","5-11","5-7","6-10","2-6",NA,"2014","28","54"
"25","Los Angeles Lakers","27-55","14-27","13-28","5-5","12-33","1-1","8-7","4-11","3-12","4-8","5-9","2-7",NA,"2014","27","55"
"26","Boston Celtics","25-57","16-25","9-32","5-9","9-23","0-1","7-11","6-6","2-15","5-6","3-12","2-6",NA,"2014","25","57"
"27","Utah Jazz","25-57","16-25","9-32","5-4","9-39","0-1","3-14","7-9","6-6","5-7","2-15","2-5",NA,"2014","25","57"
"28","Orlando Magic","23-59","19-22","4-37","5-7","10-30","0-2","6-8","4-11","3-14","5-7","3-11","2-6",NA,"2014","23","59"
"29","Philadelphia 76ers","19-63","10-31","9-32","6-3","4-46","1-0","5-11","3-10","6-11","0-11","1-15","3-5",NA,"2014","19","63"
"30","Milwaukee Bucks","15-67","10-31","5-36","4-5","4-33","0-1","3-12","4-11","1-14","3-8","3-14","1-7",NA,"2014","15","67"
" 1","Golden State Warriors","67-15","39-2","28-13","5-3","45-9","1-0","13-2","11-3","12-3","8-3","16-2","6-2",NA,"2015","67","15"
" 2","Atlanta Hawks","60-22","35-6","25-16","6-4","30-10","0-1","9-5","14-2","17-0","7-4","9-7","4-3",NA,"2015","60","22"
" 3","Houston Rockets","56-26","30-11","26-15","8-4","31-14","2-0","11-4","9-5","11-6","7-3","10-6","6-2",NA,"2015","56","26"
" 4","Los Angeles Clippers","56-26","30-11","26-15","3-5","33-9","2-0","9-5","11-6","11-4","5-6","11-5","7-0",NA,"2015","56","26"
" 5","Memphis Grizzlies","55-27","31-10","24-17","9-3","26-13","2-0","13-2","8-6","12-4","7-4","9-8","4-3",NA,"2015","55","27"
" 6","San Antonio Spurs","55-27","33-8","22-19","6-7","34-7","1-1","11-3","8-10","10-4","6-5","12-3","7-1",NA,"2015","55","27"
" 7","Cleveland Cavaliers","53-29","31-10","22-19","6-4","30-14","1-1","7-6","10-7","11-6","8-3","11-4","5-2",NA,"2015","53","29"
" 8","Portland Trail Blazers","51-31","32-9","19-22","5-1","30-11","1-1","12-3","13-3","6-9","6-3","10-6","3-6",NA,"2015","51","31"
" 9","Chicago Bulls","50-32","27-14","23-18","7-2","20-16","1-1","10-5","11-4","8-9","7-3","8-7","5-3",NA,"2015","50","32"
"10","Dallas Mavericks","50-32","27-14","23-18","5-4","22-18","1-1","12-4","10-5","9-7","7-5","6-7","5-3",NA,"2015","50","32"
"11","Toronto Raptors","49-33","27-14","22-19","6-5","29-11","1-0","12-4","11-4","9-7","4-7","7-8","5-3",NA,"2015","49","33"
"12","Washington Wizards","46-36","29-12","17-24","9-4","21-14","1-1","9-4","12-4","9-8","3-9","7-7","5-3",NA,"2015","46","36"
"13","New Orleans Pelicans","45-37","28-13","17-24","10-4","19-14","1-0","6-8","9-8","9-6","6-5","8-7","6-3",NA,"2015","45","37"
"14","Oklahoma City Thunder","45-37","29-12","16-25","4-8","26-14","0-2","5-10","11-5","7-7","9-3","10-5","3-5",NA,"2015","45","37"
"15","Milwaukee Bucks","41-41","23-18","18-23","5-9","17-16","1-1","9-7","7-8","8-6","7-5","4-11","5-3",NA,"2015","41","41"
"16","Boston Celtics","40-42","21-20","19-22","8-6","17-14","1-0","3-10","7-8","5-11","7-4","10-8","7-1",NA,"2015","40","42"
"17","Phoenix Suns","39-43","22-19","17-24","4-12","14-19","2-0","8-8","8-8","10-5","3-8","7-8","1-6",NA,"2015","39","43"
"18","Brooklyn Nets","38-44","19-22","19-22","10-2","15-23","0-1","6-8","9-7","3-12","6-5","9-7","5-4",NA,"2015","38","44"
"19","Indiana Pacers","38-44","23-18","15-26","4-12","19-20","1-1","6-9","5-11","5-11","7-2","8-8","6-2",NA,"2015","38","44"
"20","Utah Jazz","38-44","21-20","17-24","5-10","18-19","0-2","5-10","6-9","6-9","6-5","10-6","5-3",NA,"2015","38","44"
"21","Miami Heat","37-45","20-21","17-24","4-10","15-28","1-0","8-7","5-12","6-7","5-7","9-7","3-5",NA,"2015","37","45"
"22","Charlotte Hornets","33-49","19-22","14-27","6-8","13-22","1-0","3-14","6-9","10-4","3-6","8-9","2-7",NA,"2015","33","49"
"23","Detroit Pistons","32-50","18-23","14-27","7-6","19-25","0-2","3-12","5-9","10-7","5-6","6-9","3-5",NA,"2015","32","50"
"24","Denver Nuggets","30-52","19-22","11-30","4-4","17-28","1-0","7-8","5-11","6-10","1-9","8-8","2-6",NA,"2015","30","52"
"25","Sacramento Kings","29-53","18-23","11-30","6-4","12-28","1-1","8-7","4-11","4-10","3-7","6-11","3-6",NA,"2015","29","53"
"26","Orlando Magic","25-57","13-28","12-29","6-8","4-27","0-2","7-10","6-10","2-13","4-6","3-11","3-5",NA,"2015","25","57"
"27","Los Angeles Lakers","21-61","12-29","9-32","6-6","5-30","0-3","4-10","6-9","3-12","3-7","4-12","1-8",NA,"2015","21","61"
"28","Philadelphia 76ers","18-64","12-29","6-35","3-7","5-41","0-2","0-14","4-10","6-12","3-7","5-12","0-7",NA,"2015","18","64"
"29","New York Knicks","17-65","10-31","7-34","2-7","3-39","1-1","3-13","1-15","4-9","3-8","2-14","3-5",NA,"2015","17","65"
"30","Minnesota Timberwolves","16-66","9-32","7-34","6-6","4-40","1-1","3-10","1-14","3-14","5-6","3-13","0-8",NA,"2015","16","66"
" 1","Golden State Warriors","73-9","39-2","34-7","7-2","44-5","3-0","16-0","11-2","14-2","9-1","15-2","5-2",NA,"2016","73","9"
" 2","San Antonio Spurs","67-15","40-1","27-14","4-4","44-6","1-1","13-3","14-2","11-2","11-1","13-3","4-3",NA,"2016","67","15"
" 3","Cleveland Cavaliers","57-25","33-8","24-17","4-7","32-8","2-1","11-3","8-5","13-3","8-5","11-5","4-3",NA,"2016","57","25"
" 4","Toronto Raptors","56-26","32-9","24-17","6-6","28-10","2-0","9-7","9-6","12-2","7-4","11-5","6-2",NA,"2016","56","26"
" 5","Oklahoma City Thunder","55-27","32-9","23-18","8-6","33-5","2-0","9-7","12-3","13-3","6-5","11-5","2-4",NA,"2016","55","27"
" 6","Los Angeles Clippers","53-29","29-12","24-17","8-4","28-15","3-0","7-8","11-5","11-3","7-4","8-8","6-1",NA,"2016","53","29"
" 7","Atlanta Hawks","48-34","27-14","21-20","5-7","29-17","2-1","10-7","9-5","6-9","6-5","12-4","3-3",NA,"2016","48","34"
" 8","Boston Celtics","48-34","28-13","20-21","5-7","26-13","1-1","9-7","8-6","9-8","9-3","7-7","5-2",NA,"2016","48","34"
" 9","Charlotte Hornets","48-34","30-11","18-23","6-5","25-17","0-2","10-5","7-7","6-11","7-3","13-3","5-3",NA,"2016","48","34"
"10","Miami Heat","48-34","28-13","20-21","7-5","24-20","1-1","9-5","8-7","9-8","6-5","10-5","5-3",NA,"2016","48","34"
"11","Indiana Pacers","45-37","26-15","19-22","9-9","21-13","0-3","11-2","7-9","7-8","6-7","8-7","6-1",NA,"2016","45","37"
"12","Detroit Pistons","44-38","26-15","18-23","6-5","21-20","3-0","6-9","9-6","7-8","6-6","9-6","4-3",NA,"2016","44","38"
"13","Portland Trail Blazers","44-38","28-13","16-25","2-7","23-21","1-2","6-9","7-10","9-5","9-2","8-8","4-2",NA,"2016","44","38"
"14","Dallas Mavericks","42-40","23-18","19-22","6-11","19-18","1-1","9-7","9-5","9-9","4-6","5-10","5-2",NA,"2016","42","40"
"15","Memphis Grizzlies","42-40","26-15","16-25","8-3","15-23","2-1","8-7","8-8","10-4","7-4","6-10","1-6",NA,"2016","42","40"
"16","Chicago Bulls","42-40","26-15","16-25","10-4","14-19","2-1","8-4","8-7","8-8","4-8","8-9","4-3",NA,"2016","42","40"
"17","Houston Rockets","41-41","23-18","18-23","5-8","14-18","0-2","7-9","9-7","9-7","4-6","8-8","4-2",NA,"2016","41","41"
"18","Washington Wizards","41-41","22-19","19-22","7-6","22-22","2-1","4-7","8-8","7-8","8-6","7-9","5-2",NA,"2016","41","41"
"19","Utah Jazz","40-42","24-17","16-25","6-8","23-13","2-1","6-7","6-9","7-8","7-6","9-7","3-4",NA,"2016","40","42"
"20","Orlando Magic","35-47","23-18","12-29","6-10","12-20","0-2","9-6","10-5","2-12","5-7","6-11","3-4",NA,"2016","35","47"
"21","Denver Nuggets","33-49","18-23","15-26","10-5","11-21","1-1","5-11","6-9","6-9","5-7","9-8","1-4",NA,"2016","33","49"
"22","Milwaukee Bucks","33-49","23-18","10-31","6-4","12-27","0-2","7-9","6-10","7-8","5-6","6-9","2-5",NA,"2016","33","49"
"23","Sacramento Kings","33-49","18-23","15-26","8-4","11-19","1-2","6-10","5-8","8-7","4-7","6-11","3-4",NA,"2016","33","49"
"24","New York Knicks","32-50","18-23","14-27","4-7","14-23","2-1","6-9","7-8","8-9","2-9","5-10","2-4",NA,"2016","32","50"
"25","New Orleans Pelicans","30-52","21-20","9-32","5-5","11-23","0-3","4-10","6-9","8-6","5-7","5-12","2-5",NA,"2016","30","52"
"26","Minnesota Timberwolves","29-53","14-27","15-26","7-7","9-23","2-0","6-9","4-12","2-14","5-6","6-9","4-3",NA,"2016","29","53"
"27","Phoenix Suns","23-59","14-27","9-32","4-5","10-32","2-1","6-8","4-14","2-12","1-9","5-11","3-4",NA,"2016","23","59"
"28","Brooklyn Nets","21-61","14-27","7-34","7-4","6-34","0-3","4-10","5-10","3-13","5-7","4-11","0-7",NA,"2016","21","61"
"29","Los Angeles Lakers","17-65","12-29","5-36","2-7","4-44","0-2","2-12","4-13","3-14","2-8","5-10","1-6",NA,"2016","17","65"
"30","Philadelphia 76ers","10-72","7-34","3-38","0-6","5-41","0-2","0-16","3-13","4-10","1-11","1-14","1-6",NA,"2016","10","72"
" 1","Golden State Warriors","67-15","36-5","31-10","3-4","48-6","2-1","14-1","13-3","12-2","9-3","12-4","5-1",NA,"2017","67","15"
" 2","San Antonio Spurs","61-21","31-10","30-11","8-5","30-8","4-0","11-4","12-2","10-5","8-2","13-4","3-4",NA,"2017","61","21"
" 3","Houston Rockets","55-27","30-11","25-16","8-3","30-11","2-1","9-6","15-2","10-7","6-3","9-6","4-2",NA,"2017","55","27"
" 4","Boston Celtics","53-29","30-11","23-18","7-6","17-11","2-1","8-7","10-6","10-4","8-4","11-5","4-2",NA,"2017","53","29"
" 5","Cleveland Cavaliers","51-31","31-10","20-21","3-4","25-15","3-0","10-3","12-4","7-8","9-2","7-10","3-4",NA,"2017","51","31"
" 6","Los Angeles Clippers","51-31","29-12","22-19","3-6","33-14","3-0","11-5","8-9","8-4","6-5","10-8","5-0",NA,"2017","51","31"
" 7","Toronto Raptors","51-31","28-13","23-18","8-7","26-8","2-1","10-5","10-4","8-9","6-5","10-6","5-1",NA,"2017","51","31"
" 8","Utah Jazz","51-31","29-12","22-19","4-4","23-10","1-2","10-6","10-5","9-6","7-4","10-6","4-2",NA,"2017","51","31"
" 9","Washington Wizards","49-33","30-11","19-22","9-6","18-12","0-2","6-9","10-5","12-4","7-3","11-7","3-3",NA,"2017","49","33"
"10","Oklahoma City Thunder","47-35","28-13","19-22","12-7","23-21","3-0","9-8","9-5","7-8","7-4","8-7","4-3",NA,"2017","47","35"
"11","Atlanta Hawks","43-39","23-18","20-21","7-8","17-21","3-0","7-9","7-7","11-4","5-6","6-10","4-3",NA,"2017","43","39"
"12","Memphis Grizzlies","43-39","24-17","19-22","7-5","17-20","2-1","9-7","11-6","7-7","7-4","6-9","1-5",NA,"2017","43","39"
"13","Indiana Pacers","42-40","29-12","13-28","4-2","23-19","1-2","8-8","7-8","9-4","6-7","6-10","5-1",NA,"2017","42","40"
"14","Milwaukee Bucks","42-40","23-18","19-22","8-2","21-22","1-2","7-6","8-8","5-10","5-6","14-4","2-4",NA,"2017","42","40"
"15","Chicago Bulls","41-41","25-16","16-25","5-6","17-23","3-0","7-7","6-11","8-7","6-5","6-9","5-2",NA,"2017","41","41"
"16","Portland Trail Blazers","41-41","25-16","16-25","7-11","18-16","2-1","8-9","4-11","8-7","2-7","13-3","4-3",NA,"2017","41","41"
"17","Miami Heat","41-41","23-18","18-23","8-6","19-13","1-2","5-10","4-12","9-6","8-3","10-6","4-2",NA,"2017","41","41"
"18","Denver Nuggets","40-42","22-19","18-23","5-10","24-19","1-2","6-9","7-8","7-7","6-7","8-7","5-2",NA,"2017","40","42"
"19","Detroit Pistons","37-45","24-17","13-28","5-7","23-26","2-1","8-9","5-10","6-7","8-4","6-11","2-3",NA,"2017","37","45"
"20","Charlotte Hornets","36-46","22-19","14-27","0-9","19-18","2-1","8-7","9-7","4-11","3-8","9-7","1-5",NA,"2017","36","46"
"21","New Orleans Pelicans","34-48","21-20","13-28","7-6","17-22","0-3","7-9","7-9","5-9","4-7","10-6","1-5",NA,"2017","34","48"
"22","Dallas Mavericks","33-49","21-20","12-29","4-6","14-26","0-3","3-11","7-10","8-6","6-5","7-9","2-5",NA,"2017","33","49"
"23","Sacramento Kings","32-50","17-24","15-26","10-6","9-27","2-2","5-9","7-8","5-11","6-5","4-12","3-3",NA,"2017","32","50"
"24","Minnesota Timberwolves","31-51","20-21","11-30","7-10","18-19","0-2","5-11","6-9","8-7","5-7","6-8","1-7",NA,"2017","31","51"
"25","New York Knicks","31-51","19-22","12-29","7-10","10-25","1-1","8-8","7-8","5-12","3-7","5-11","2-4",NA,"2017","31","51"
"26","Orlando Magic","29-53","16-25","13-28","5-5","10-32","0-3","7-8","8-8","4-12","3-7","5-11","2-4",NA,"2017","29","53"
"27","Philadelphia 76ers","28-54","17-24","11-30","9-8","7-29","0-2","4-12","4-10","10-5","4-8","6-11","0-6",NA,"2017","28","54"
"28","Los Angeles Lakers","26-56","17-24","9-32","2-4","14-31","1-2","9-8","2-14","5-10","2-8","2-12","5-2",NA,"2017","26","56"
"29","Phoenix Suns","24-58","15-26","9-32","9-5","7-32","0-4","6-9","4-11","5-9","3-9","4-12","2-4",NA,"2017","24","58"
"30","Brooklyn Nets","20-62","13-28","7-34","3-6","9-30","1-3","4-9","3-12","1-15","0-10","7-10","4-3",NA,"2017","20","62"
" 1","Houston Rockets","65-17","34-7","31-10","5-3","38-8","5-3","12-1","9-5","10-4","12-0","14-1","3-3",NA,"2018","65","17"
" 2","Toronto Raptors","59-23","34-7","25-16","5-7","33-5","4-2","9-5","11-3","10-5","9-2","12-4","4-2",NA,"2018","59","23"
" 3","Golden State Warriors","58-24","29-12","29-12","5-1","38-13","5-3","11-3","13-2","11-3","8-3","7-7","3-3",NA,"2018","58","24"
" 4","Boston Celtics","55-27","27-14","28-13","11-8","25-9","5-2","14-2","11-6","7-5","7-4","9-4","2-4",NA,"2018","55","27"
" 5","Philadelphia 76ers","52-30","30-11","22-19","4-7","31-11","3-4","9-5","5-10","7-5","8-3","13-3","7-0",NA,"2018","52","30"
" 6","Cleveland Cavaliers","50-32","29-12","21-20","8-5","17-20","3-4","12-3","9-5","6-8","6-4","10-6","4-2",NA,"2018","50","32"
" 7","Portland Trail Blazers","49-33","28-13","21-20","8-8","20-12","4-3","9-6","5-8","11-5","6-4","12-3","2-4",NA,"2018","49","33"
" 8","Indiana Pacers","48-34","27-14","21-20","11-2","20-16","4-3","8-7","7-8","10-5","5-4","11-4","3-3",NA,"2018","48","34"
" 9","New Orleans Pelicans","48-34","24-17","24-17","7-3","19-16","3-4","8-6","7-8","9-5","8-3","8-7","5-1",NA,"2018","48","34"
"10","Oklahoma City Thunder","48-34","27-14","21-20","8-10","24-11","4-3","4-9","12-5","10-4","6-6","8-6","4-1",NA,"2018","48","34"
"11","Utah Jazz","48-34","28-13","20-21","4-5","31-19","4-3","7-8","5-10","6-7","9-2","12-3","5-1",NA,"2018","48","34"
"12","Minnesota Timberwolves","47-35","30-11","17-24","7-7","25-12","4-3","9-6","10-5","9-8","6-4","6-7","3-2",NA,"2018","47","35"
"13","San Antonio Spurs","47-35","33-8","14-27","8-10","25-17","4-3","10-4","11-5","9-7","2-7","8-6","3-3",NA,"2018","47","35"
"14","Denver Nuggets","46-36","31-10","15-26","10-5","21-15","3-4","9-5","7-8","7-8","7-3","8-7","5-1",NA,"2018","46","36"
"15","Miami Heat","44-38","26-15","18-23","9-9","16-13","2-4","8-7","9-6","10-5","3-7","9-7","3-2",NA,"2018","44","38"
"16","Milwaukee Bucks","44-38","25-16","19-22","7-4","14-16","4-3","7-6","8-6","8-7","6-6","8-7","3-3",NA,"2018","44","38"
"17","Washington Wizards","43-39","23-18","20-21","5-7","22-12","4-2","7-8","10-6","7-6","8-4","6-8","1-5",NA,"2018","43","39"
"18","Los Angeles Clippers","42-40","22-19","20-21","8-2","22-19","4-2","4-10","8-7","9-6","7-3","9-7","1-5",NA,"2018","42","40"
"19","Detroit Pistons","39-43","25-16","14-27","4-7","19-23","5-3","9-3","6-9","3-11","6-6","7-8","3-3",NA,"2018","39","43"
"20","Charlotte Hornets","36-46","21-20","15-26","1-5","23-23","4-3","4-9","5-11","8-6","7-5","6-9","2-3",NA,"2018","36","46"
"21","Los Angeles Lakers","35-47","20-21","15-26","6-7","18-21","3-4","5-9","3-11","8-7","7-3","7-8","2-5",NA,"2018","35","47"
"22","New York Knicks","29-53","19-22","10-31","2-7","15-30","3-3","8-7","7-8","5-11","1-9","3-12","2-3",NA,"2018","29","53"
"23","Brooklyn Nets","28-54","15-26","13-28","5-7","9-27","3-5","5-8","5-10","6-10","1-9","5-9","3-3",NA,"2018","28","54"
"24","Chicago Bulls","27-55","17-24","10-31","9-5","6-30","1-4","2-13","10-6","5-10","2-8","5-10","2-4",NA,"2018","27","55"
"25","Sacramento Kings","27-55","14-27","13-28","6-5","5-32","1-6","5-9","6-9","4-10","2-9","6-10","3-2",NA,"2018","27","55"
"26","Orlando Magic","25-57","17-24","8-33","3-5","10-27","5-2","4-11","3-12","3-10","3-8","4-10","3-4",NA,"2018","25","57"
"27","Atlanta Hawks","24-58","16-25","8-33","6-8","8-35","1-6","3-11","6-9","5-10","4-7","2-12","3-3",NA,"2018","24","58"
"28","Dallas Mavericks","24-58","15-26","9-32","2-9","11-20","1-7","4-10","8-8","3-11","3-7","4-10","1-5",NA,"2018","24","58"
"29","Memphis Grizzlies","22-60","16-25","6-35","5-12","8-26","5-2","2-11","5-12","6-7","0-10","3-13","1-5",NA,"2018","22","60"
"30","Phoenix Suns","21-61","10-31","11-30","6-5","5-40","3-4","5-11","6-9","4-10","1-10","0-14","2-3",NA,"2018","21","61"
" 1","Milwaukee Bucks","60-22","33-8","27-14","5-6","45-5","7-0","8-6","10-4","12-3","10-1","10-6","3-2",NA,"2019","60","22"
" 2","Toronto Raptors","58-24","32-9","26-15","11-7","33-9","7-1","12-3","8-7","10-5","8-1","9-6","4-1",NA,"2019","58","24"
" 3","Golden State Warriors","57-25","30-11","27-14","7-7","34-10","8-1","7-7","10-5","11-2","7-4","9-5","5-1",NA,"2019","57","25"
" 4","Denver Nuggets","54-28","34-7","20-21","13-3","23-11","6-1","9-6","8-4","12-4","7-4","9-6","3-3",NA,"2019","54","28"
" 5","Houston Rockets","53-29","31-10","22-19","5-7","29-12","1-5","9-6","11-4","8-6","8-4","12-3","4-1",NA,"2019","53","29"
