"Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","Season","Team.Wins","MVP"
14,"Carmelo Anthony",19,"DEN",0,1,1230,0.001,1,0.9057072,0.8677686,0.4388489,0.3043478,0.5,0.16666667,0.7294521,0.322,0.8381877,6.1,0.3602941,2004,43,FALSE
14,"Yao Ming",23,"HOU",0,1,1230,0.001,1,0.8138958,0.7231405,0.647482,0.1630435,0.125,0.63333333,0.8938356,0,0.8727077,11.4,0.7426471,2004,45,FALSE
14,"Michael Redd",24,"MIL",0,1,1230,0.001,1,0.9131514,0.8966942,0.3597122,0.25,0.4166667,0.03333333,0.7534247,0.35,0.9363538,9.7,0.5661765,2004,41,FALSE
1,"Steve Nash",30,"PHO",65,1066,1270,0.839,0.9146341,0.8089623,0.504886,0.2444444,1,0.4166667,0.03333333,0.8352745,0.431,1,10.9,0.8185484,2005,62,TRUE
3,"Dirk Nowitzki",26,"DAL",0,349,1270,0.275,0.9512195,0.9127358,0.8501629,0.7185185,0.2695652,0.5,0.5,0.7637271,0.399,0.9797069,15.6,1,2005,58,FALSE
4,"Tim Duncan",28,"SAS",1,328,1270,0.258,0.804878,0.7877358,0.6612378,0.8222222,0.2347826,0.2916667,0.86666667,0.8252912,0.333,0.7553551,11.2,0.9879032,2005,59,FALSE
5,"Allen Iverson",29,"PHI",2,240,1270,0.189,0.9146341,0.9976415,1,0.2962963,0.6869565,1,0.03333333,0.7054908,0.308,0.9413754,9,0.5483871,2005,43,FALSE
6,"LeBron James",20,"CLE",0,93,1270,0.073,0.9756098,1,0.8859935,0.5481481,0.626087,0.9166667,0.23333333,0.7853577,0.351,0.8455468,14.3,0.8185484,2005,42,FALSE
7,"Tracy McGrady",25,"HOU",0,44,1270,0.035,0.9512195,0.9622642,0.8371336,0.4592593,0.4956522,0.7083333,0.23333333,0.7171381,0.326,0.8726043,12,0.7258065,2005,51,FALSE
8,"Dwyane Wade",23,"MIA",0,43,1270,0.034,0.9390244,0.9103774,0.7850163,0.3851852,0.5913043,0.6666667,0.36666667,0.7953411,0.289,0.8590755,11,0.7137097,2005,59,FALSE
9,"Amar'e Stoudemire",22,"PHO",1,41,1270,0.032,0.9756098,0.8514151,0.8469055,0.6592593,0.1391304,0.4166667,0.53333333,0.9301165,0.188,0.8263811,14.6,0.9798387,2005,62,FALSE
9,"Ray Allen",29,"SEA",0,41,1270,0.032,0.9512195,0.9268868,0.7785016,0.3259259,0.3217391,0.4583333,0.03333333,0.7121464,0.376,0.9954904,10.7,0.6774194,2005,52,FALSE
11,"Kevin Garnett",28,"MIN",0,15,1270,0.012,1,0.8985849,0.723127,1,0.4956522,0.625,0.46666667,0.8352745,0.24,0.9143179,16.1,1,2005,44,FALSE
12,"Gilbert Arenas",23,"WAS",0,4,1270,0.003,0.9756098,0.9646226,0.8306189,0.3481481,0.4434783,0.7083333,0.1,0.7171381,0.365,0.9177001,11.5,0.6814516,2005,45,FALSE
14,"Marcus Camby",30,"DEN",0,1,1270,0.001,0.804878,0.7193396,0.3355049,0.7407407,0.2,0.375,1,0.7737105,0,0.8151071,5.8,0.5564516,2005,49,FALSE
14,"Shawn Marion",26,"PHO",0,1,1270,0.001,0.9878049,0.9150943,0.6319218,0.837037,0.1652174,0.8333333,0.5,0.7920133,0.334,0.9391206,12.5,0.7701613,2005,62,FALSE
1,"Steve Nash",31,"PHO",57,924,1250,0.739,0.9753086,0.8213457,0.5310734,0.3559322,1,0.4,0.08,0.9343066,0.439,1,12.4,0.7709091,2006,54,TRUE
2,"LeBron James",21,"CLE",16,688,1250,0.55,0.9753086,0.9860789,0.8870056,0.5932203,0.6285714,0.8,0.32,0.8759124,0.335,0.8013029,16.3,0.8436364,2006,50,FALSE
3,"Dirk Nowitzki",27,"DAL",14,544,1250,0.435,1,0.8839907,0.7514124,0.7627119,0.2666667,0.35,0.4,0.8759124,0.406,0.9782845,17.7,1,2006,60,FALSE
4,"Kobe Bryant",27,"LAL",22,483,1250,0.386,0.9876543,0.9512761,1,0.4491525,0.4285714,0.9,0.16,0.8211679,0.347,0.9229099,15.3,0.8145455,2006,45,FALSE
5,"Chauncey Billups",29,"DET",15,430,1250,0.344,1,0.837587,0.5225989,0.2627119,0.8190476,0.45,0.04,0.7627737,0.433,0.970684,15.5,0.9236364,2006,64,FALSE
6,"Dwyane Wade",24,"MIA",0,87,1250,0.07,0.9259259,0.8955916,0.7683616,0.4830508,0.6380952,0.95,0.32,0.9032847,0.171,0.8501629,14.4,0.8690909,2006,52,FALSE
7,"Elton Brand",26,"LAC",1,50,1250,0.04,0.9753086,0.9095128,0.6977401,0.8474576,0.247619,0.5,1,0.9616788,0.333,0.8414767,14.8,0.8327273,2006,47,FALSE
8,"Tim Duncan",29,"SAS",0,33,1250,0.026,0.9876543,0.8074246,0.5254237,0.9322034,0.3047619,0.45,0.8,0.8832117,0.4,0.6829533,10.8,0.68,2006,63,FALSE
9,"Tony Parker",23,"SAS",0,9,1250,0.007,0.9876543,0.7865429,0.5338983,0.279661,0.552381,0.5,0.04,1,0.306,0.7676439,9.6,0.6145455,2006,63,FALSE
10,"Allen Iverson",30,"PHI",0,1,1250,0.001,0.8888889,1,0.9322034,0.2711864,0.7047619,0.95,0.04,0.8156934,0.323,0.8838219,10.6,0.6,2006,38,FALSE
10,"Shawn Marion",27,"PHO",0,1,1250,0.001,1,0.9350348,0.6158192,1,0.1714286,1,0.68,0.9580292,0.331,0.8783931,14.6,0.7781818,2006,54,FALSE
